sequence       ,obj,  J&F,    J,    F
E2_S3_W1_L1    ,001, 91.9, 93.8, 90.1
E2_S3_W1_L2    ,001, 50.7, 74.6, 26.9
E2_S3_W1_L3    ,001, 49.6, 71.0, 28.2
E2_S3_W1_L4    ,001, 47.4, 68.5, 26.2
E2_S3_W1_L5    ,001, 39.1, 63.7, 14.5
E2_S3_W1_L9    ,001, 55.9, 63.3, 48.5
E2_S3_W1_L13   ,001, 79.3, 86.2, 72.5
E2_S3_W1_L15   ,001, 70.1, 80.0, 60.3
E3_S5_C2_P0    ,001, 87.0, 92.7, 81.2
E3_S5_C2_P1    ,001, 92.9, 95.7, 90.1
E3_S5_C2_P2    ,001, 97.3, 97.8, 96.8
E3_S5_C2_P3    ,001, 96.7, 97.7, 95.6
E3_S5_C2_P4    ,001, 94.0, 96.4, 91.5
E3_S5_C2_P5    ,001, 99.0, 98.2, 99.8
E3_S5_C2_P6    ,001, 98.7, 98.3, 99.2
E3_S5_C2_P7    ,001, 97.2, 97.1, 97.3
E3_S5_C2_P8    ,001, 93.3, 94.3, 92.2
E5_S8_C0_P1    ,001, 88.5, 95.7, 81.3
E5_S8_C0_P5    ,001, 85.2, 92.6, 77.9
E5_S8_C0_P6    ,001, 94.9, 96.8, 93.1
E5_S9_C1_P2    ,001, 97.6, 97.6, 97.6
E5_S9_C1_P3    ,001, 91.5, 94.9, 88.0
E5_S9_C1_P4    ,001, 83.2, 90.1, 76.3
E5_S9_C1_P7    ,001, 94.4, 96.9, 91.8
E5_S9_C1_P10   ,001, 93.5, 96.9, 90.1
E5_S9_C1_P13   ,001, 95.4, 97.8, 93.0
E5_S9_C1_P14   ,001, 91.9, 95.9, 87.9
E5_S9_C1_P16   ,001, 96.4, 97.4, 95.3
E5_S9_C1_P19   ,001, 90.9, 95.8, 86.1
E5_S9_C1_P25   ,001, 93.6, 96.3, 91.0
E6_S13_C1_V1_9 ,001, 99.2, 98.8, 99.6
E6_S13_C1_V1_10,001, 99.6, 99.3, 99.9
Global score   ,   , 85.5, 91.0, 80.0
