sequence       ,obj,  J&F,    J,    F
E6_S13_C1_V1_9 ,001, 99.2, 98.8, 99.6
E6_S13_C1_V1_10,001, 99.6, 99.3, 99.9
Global score   ,   , 99.4, 99.0, 99.7
