sequence    ,obj,  J&F,    J,    F
E5_S8_C0_P1 ,001, 88.5, 95.7, 81.3
E5_S8_C0_P5 ,001, 85.2, 92.6, 77.9
E5_S8_C0_P6 ,001, 94.9, 96.8, 93.1
Global score,   , 89.6, 95.0, 84.1
