sequence    ,obj,  J&F,    J,    F
E3_S5_C2_P0 ,001, 87.0, 92.7, 81.2
E3_S5_C2_P1 ,001, 92.9, 95.7, 90.1
E3_S5_C2_P2 ,001, 97.3, 97.8, 96.8
E3_S5_C2_P3 ,001, 96.7, 97.7, 95.6
E3_S5_C2_P4 ,001, 94.0, 96.4, 91.5
E3_S5_C2_P5 ,001, 99.0, 98.2, 99.8
E3_S5_C2_P6 ,001, 98.7, 98.3, 99.2
E3_S5_C2_P7 ,001, 97.2, 97.1, 97.3
E3_S5_C2_P8 ,001, 93.3, 94.3, 92.2
Global score,   , 95.1, 96.5, 93.8
