sequence    ,obj,  J&F,    J,    F
E5_S8_C0_P1 ,001, 73.0, 84.1, 61.9
E5_S8_C0_P5 ,001, 70.6, 70.6, 70.6
E5_S8_C0_P6 ,001, 95.6, 96.8, 94.4
Global score,   , 79.7, 83.8, 75.6
