sequence       ,obj,  J&F,    J,    F
E6_S13_C1_V1_9 ,001, 86.0, 95.3, 76.6
E6_S13_C1_V1_10,001, 98.7, 97.9, 99.5
Global score   ,   , 92.3, 96.6, 88.1
