sequence    ,obj,  J&F,    J,    F
E3_S5_C2_P0 ,001, 49.2, 60.9, 37.4
E3_S5_C2_P1 ,001, 86.1, 92.1, 80.0
E3_S5_C2_P2 ,001, 98.4, 98.8, 98.0
E3_S5_C2_P3 ,001, 96.7, 98.2, 95.2
E3_S5_C2_P4 ,001, 94.1, 96.8, 91.5
E3_S5_C2_P5 ,001, 99.6, 99.4, 99.8
E3_S5_C2_P6 ,001, 92.4, 96.6, 88.1
E3_S5_C2_P7 ,001, 92.4, 95.3, 89.6
E3_S5_C2_P8 ,001, 91.4, 93.5, 89.2
Global score,   , 88.9, 92.4, 85.4
