sequence    ,obj,  J&F,    J,    F
E2_S3_W1_L1 ,001, 66.4, 67.5, 65.3
E2_S3_W1_L2 ,001, 37.8, 53.3, 22.4
E2_S3_W1_L3 ,001, 36.4, 50.7, 22.1
E2_S3_W1_L4 ,001, 39.2, 52.5, 25.9
E2_S3_W1_L5 ,001, 38.8, 52.3, 25.2
E2_S3_W1_L9 ,001, 57.0, 60.3, 53.7
E2_S3_W1_L13,001, 58.4, 67.2, 49.6
E2_S3_W1_L15,001, 59.6, 67.1, 52.1
Global score,   , 49.2, 58.9, 39.5
