sequence    ,obj,  J&F,    J,    F
E5_S8_C0_P1 ,001, 67.1, 68.6, 65.6
E5_S8_C0_P5 ,001, 67.1, 69.3, 65.0
E5_S8_C0_P6 ,001, 92.0, 96.1, 88.0
Global score,   , 75.4, 78.0, 72.9
