sequence    ,obj,  J&F,    J,    F
E3_S5_C2_P0 ,001, 43.6, 56.2, 30.9
E3_S5_C2_P1 ,001, 87.6, 92.7, 82.5
E3_S5_C2_P2 ,001, 98.4, 98.9, 97.9
E3_S5_C2_P3 ,001, 92.7, 96.5, 89.0
E3_S5_C2_P4 ,001, 78.7, 88.8, 68.6
E3_S5_C2_P5 ,001, 99.4, 99.2, 99.5
E3_S5_C2_P6 ,001, 90.5, 95.0, 86.0
E3_S5_C2_P7 ,001, 85.1, 89.3, 80.8
E3_S5_C2_P8 ,001, 82.7, 87.4, 77.9
Global score,   , 84.3, 89.4, 79.2
