sequence       ,obj,  J&F,    J,    F
E6_S13_C1_V1_9 ,001, 78.4, 91.7, 65.1
E6_S13_C1_V1_10,001, 92.8, 96.9, 88.6
Global score   ,   , 85.6, 94.3, 76.9
