sequence    ,obj,  J&F,    J,    F
E5_S9_C1_P2 ,001, 88.5, 90.7, 86.3
E5_S9_C1_P3 ,001, 85.5, 93.7, 77.3
E5_S9_C1_P4 ,001, 67.7, 82.7, 52.7
E5_S9_C1_P7 ,001, 82.0, 92.7, 71.2
E5_S9_C1_P10,001, 81.1, 92.4, 69.7
E5_S9_C1_P13,001, 76.6, 90.5, 62.7
E5_S9_C1_P14,001, 76.2, 89.7, 62.8
E5_S9_C1_P16,001, 75.8, 89.6, 62.1
E5_S9_C1_P19,001, 77.1, 91.1, 63.1
E5_S9_C1_P25,001, 78.7, 91.7, 65.7
Global score,   , 78.9, 90.5, 67.4
