sequence    ,obj,  J&F,    J,    F
E5_S9_C1_P2 ,001, 91.7, 93.3, 90.1
E5_S9_C1_P3 ,001, 86.3, 93.5, 79.2
E5_S9_C1_P4 ,001, 68.9, 82.7, 55.1
E5_S9_C1_P7 ,001, 86.2, 95.3, 77.1
E5_S9_C1_P10,001, 88.5, 95.1, 81.9
E5_S9_C1_P13,001, 80.4, 92.1, 68.7
E5_S9_C1_P14,001, 77.6, 90.4, 64.9
E5_S9_C1_P16,001, 79.3, 91.5, 67.0
E5_S9_C1_P19,001, 84.0, 93.3, 74.8
E5_S9_C1_P25,001, 85.0, 93.1, 76.9
Global score,   , 82.8, 92.0, 73.6
